fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
regret,top30,8,40,20,17.00,4.43,10,23,0.000000,0.000000,91.00,4.90,85.00,95.00,0.845274,0.278150,7.270063,2.345618,9.059215,0.538075,42.444143,1.730228
regret,top30,12,60,20,21.80,6.14,15,31,0.001509,0.002931,91.00,5.83,80.00,95.00,1.060661,0.497952,13.736623,7.480393,9.153700,0.835695,36.990387,4.166113
regret,top70,1,5,20,6.60,2.06,4,10,0.000000,0.000000,84.00,8.60,75.00,100.00,0.752281,0.051992,6.368914,2.965444,8.747913,0.313621,43.135922,0.511245
regret,top70,2,10,20,9.20,0.75,8,10,0.000000,0.000000,83.00,4.00,75.00,85.00,0.686361,0.094439,8.355449,2.264270,9.649460,0.244837,43.018762,1.637492
regret,top70,4,20,20,14.40,3.93,11,22,0.000000,0.000000,89.00,4.90,85.00,95.00,0.832881,0.280293,9.396387,3.896299,9.403074,0.592237,41.644261,1.426326
regret,top70,8,40,20,19.40,3.14,14,23,0.000000,0.000000,90.00,6.32,80.00,95.00,0.877327,0.300828,8.689595,3.074471,10.085573,1.109472,41.273623,4.030818
regret,top70,12,60,20,23.80,4.66,19,31,0.001509,0.002931,92.00,6.00,80.00,95.00,1.008473,0.540190,13.858860,7.353726,9.235921,0.673677,36.301379,4.425994
regret,top90,1,5,20,10.20,2.32,7,14,0.000000,0.000000,84.00,2.00,80.00,85.00,0.687595,0.095089,8.134521,2.553599,9.062432,1.224680,43.068119,0.676806
regret,top90,2,10,20,11.60,1.74,10,15,0.000000,0.000000,85.00,8.94,75.00,95.00,0.596986,0.057476,8.919052,1.649281,9.351151,0.870553,42.001803,2.020116
regret,top90,4,20,20,17.40,2.58,15,22,0.000000,0.000000,87.00,7.48,75.00,95.00,0.816904,0.289517,10.040614,3.879392,9.503032,0.959743,41.081058,1.255653
regret,top90,8,40,20,21.40,2.24,17,23,0.000000,0.000000,88.00,7.48,75.00,95.00,0.894370,0.292224,9.984596,2.215059,9.595228,0.639719,40.589497,4.810067
regret,top90,12,60,20,25.80,3.19,22,31,0.001509,0.002931,92.00,6.00,80.00,95.00,1.075946,0.505077,14.122710,7.089588,9.458118,1.197059,37.422066,3.777179
entropy,top10,1,5,20,1.40,0.80,1,3,0.000542,0.000357,80.00,5.48,70.00,85.00,0.601127,0.064812,7.233596,1.442121,8.388347,0.355703,44.069401,0.265206
entropy,top10,2,10,20,5.80,2.64,1,8,0.005715,0.005419,84.00,6.63,75.00,95.00,0.639529,0.179411,7.413284,1.498052,9.090376,0.544009,43.230401,1.411665
