mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,symmetric,1.0,1.0,softmax,top50,2,10,20,1,43,6,0.090793,85.00,0.542583,5.450091,14.166881,41.310892,0.0417,0.2500
both,symmetric,1.0,1.0,softmax,top50,2,10,20,2,44,25,0.653408,95.00,0.892346,5.723712,1.420683,44.443727,0.0437,1.0938
both,symmetric,1.0,1.0,softmax,top50,2,10,20,3,45,7,0.078980,95.00,0.608127,9.512935,8.920643,42.145120,0.0424,0.2969
both,symmetric,1.0,1.0,softmax,top50,2,10,20,4,46,12,0.529149,95.00,0.892464,7.614571,6.343955,43.058166,0.0430,0.5156
both,symmetric,1.0,1.0,softmax,top50,2,10,20,5,47,13,0.161751,90.00,0.446889,10.282743,7.549411,41.179666,0.0409,0.5312
both,symmetric,1.0,1.0,softmax,top50,2,10,20,6,48,14,0.096521,85.00,0.973441,3.610399,6.799314,37.479736,0.0446,0.6250
both,symmetric,1.0,1.0,softmax,top50,2,10,20,7,49,7,0.021950,95.00,0.585175,8.298004,12.384561,39.826211,0.0446,0.3125
both,symmetric,1.0,1.0,softmax,top50,2,10,20,8,50,14,0.146122,95.00,0.640236,5.232101,5.827618,42.805874,0.0502,0.7031
both,symmetric,1.0,1.0,softmax,top50,2,10,20,9,51,16,0.340984,95.00,0.638071,11.632087,3.914656,44.018410,0.0430,0.6875
both,symmetric,1.0,1.0,softmax,top50,4,20,20,0,42,15,0.171281,85.00,0.897102,3.937235,6.763008,41.392074,0.0417,0.6250
both,symmetric,1.0,1.0,softmax,top50,4,20,20,1,43,19,0.167393,95.00,0.749382,7.702137,6.841574,43.152388,0.0436,0.8281
both,symmetric,1.0,1.0,softmax,top50,4,20,20,2,44,17,2.870897,95.00,0.865516,7.005204,0.804830,44.367517,0.0441,0.7500
both,symmetric,1.0,1.0,softmax,top50,4,20,20,3,45,22,0.645348,95.00,0.912879,7.331587,3.642600,44.028821,0.0426,0.9375
both,symmetric,1.0,1.0,softmax,top50,4,20,20,4,46,25,0.327207,95.00,0.762158,12.548383,2.260147,44.417760,0.0394,0.9844
both,symmetric,1.0,1.0,softmax,top50,4,20,20,5,47,23,0.143879,85.00,0.818373,6.586605,6.951963,43.005474,0.0414,0.9531
both,symmetric,1.0,1.0,softmax,top50,4,20,20,6,48,12,0.069723,95.00,0.572037,5.976450,15.992947,34.870004,0.0430,0.5156
both,symmetric,1.0,1.0,softmax,top50,4,20,20,7,49,12,0.234071,85.00,0.830683,6.359092,7.112056,40.605324,0.0443,0.5312
both,symmetric,1.0,1.0,softmax,top50,4,20,20,8,50,16,0.291589,95.00,0.923641,7.262665,3.308035,42.626489,0.0439,0.7031
both,symmetric,1.0,1.0,softmax,top50,4,20,20,9,51,17,4.512973,95.00,0.739276,8.792945,1.584303,44.387025,0.0404,0.6875
both,symmetric,1.0,1.0,softmax,top50,8,40,20,0,42,20,0.300593,95.00,1.492775,2.931694,7.000632,43.365402,0.0508,1.0156
both,symmetric,1.0,1.0,softmax,top50,8,40,20,1,43,19,0.350839,85.00,0.726688,5.051035,8.434495,42.720710,0.0428,0.8125
both,symmetric,1.0,1.0,softmax,top50,8,40,20,2,44,22,7.393485,95.00,0.715409,12.765829,1.160415,44.444210,0.0440,0.9688
both,symmetric,1.0,1.0,softmax,top50,8,40,20,3,45,39,0.709299,95.00,0.835086,7.187505,0.987452,44.444384,0.0421,1.6406
both,symmetric,1.0,1.0,softmax,top50,8,40,20,4,46,24,0.365526,95.00,1.170981,8.272402,1.443939,44.335365,0.0443,1.0625
both,symmetric,1.0,1.0,softmax,top50,8,40,20,5,47,23,0.444544,95.00,1.192038,7.939915,4.162919,43.398266,0.0435,1.0000
both,symmetric,1.0,1.0,softmax,top50,8,40,20,6,48,32,0.092351,95.00,1.457150,4.316912,9.092100,30.701037,0.0454,1.4531
both,symmetric,1.0,1.0,softmax,top50,8,40,20,7,49,16,0.106432,95.00,1.056541,7.848859,9.294807,39.495551,0.0449,0.7188
both,symmetric,1.0,1.0,softmax,top50,8,40,20,8,50,42,0.800722,95.00,0.717378,10.326776,0.942163,44.440350,0.0435,1.8281
both,symmetric,1.0,1.0,softmax,top50,8,40,20,9,51,17,6.320450,85.00,0.573134,17.947730,0.480219,43.733437,0.0441,0.7500
both,symmetric,1.0,1.0,regret,top50,1,5,20,0,42,1,1.270247,85.00,0.583406,6.150920,10.575905,44.078699,0.0625,0.0625
both,symmetric,1.0,1.0,regret,top50,1,5,20,1,43,1,0.857726,85.00,0.677142,6.110768,9.209246,44.272709,0.0312,0.0312
both,symmetric,1.0,1.0,regret,top50,1,5,20,2,44,1,0.883310,80.00,0.602174,5.635433,10.416201,44.322257,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,3,45,1,1.076873,75.00,0.602671,6.751976,10.568043,44.299241,0.0312,0.0312
both,symmetric,1.0,1.0,regret,top50,1,5,20,4,46,2,0.766973,95.00,0.755002,5.429954,13.100288,41.393948,0.0547,0.1094
both,symmetric,1.0,1.0,regret,top50,1,5,20,5,47,2,0.542299,80.00,0.468532,4.500508,12.389185,42.670214,0.0391,0.0781
both,symmetric,1.0,1.0,regret,top50,1,5,20,6,48,2,0.658924,75.00,0.542317,6.711703,13.410443,40.646323,0.0391,0.0781
both,symmetric,1.0,1.0,regret,top50,1,5,20,7,49,1,0.476529,75.00,0.470047,4.539802,10.379995,44.373466,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,8,50,2,0.614085,95.00,0.634945,2.709867,13.018815,41.017772,0.0391,0.0781
both,symmetric,1.0,1.0,regret,top50,1,5,20,9,51,2,0.444990,85.00,0.692328,4.182033,11.930610,39.619598,0.0469,0.0938
both,symmetric,1.0,1.0,regret,top50,2,10,20,0,42,3,0.549881,75.00,0.712577,4.136993,12.062225,42.800886,0.0469,0.1406
both,symmetric,1.0,1.0,regret,top50,2,10,20,1,43,1,1.751076,85.00,0.677142,6.110768,9.209246,44.272709,0.0625,0.0625
both,symmetric,1.0,1.0,regret,top50,2,10,20,2,44,9,0.908252,85.00,0.833416,6.275230,6.975030,43.547986,0.0486,0.4375
both,symmetric,1.0,1.0,regret,top50,2,10,20,3,45,4,0.199523,95.00,0.695117,5.536741,12.268423,40.584423,0.0508,0.2031
both,symmetric,1.0,1.0,regret,top50,2,10,20,4,46,6,0.889282,95.00,0.413843,3.958331,6.479795,38.849220,0.0365,0.2188
both,symmetric,1.0,1.0,regret,top50,2,10,20,5,47,7,0.417990,85.00,0.426880,2.313213,10.779579,39.611495,0.0402,0.2812
both,symmetric,1.0,1.0,regret,top50,2,10,20,6,48,3,0.823138,80.00,0.440623,7.022873,9.417419,41.417379,0.0417,0.1250
both,symmetric,1.0,1.0,regret,top50,2,10,20,7,49,3,0.552981,90.00,0.513864,2.747229,12.103718,40.896331,0.0365,0.1094
both,symmetric,1.0,1.0,regret,top50,2,10,20,8,50,7,1.202850,75.00,0.938900,5.852421,4.858875,43.873380,0.0446,0.3125
both,symmetric,1.0,1.0,regret,top50,2,10,20,9,51,5,0.844819,95.00,0.661512,5.616736,5.522905,44.294489,0.0437,0.2188
both,symmetric,1.0,1.0,regret,top50,4,20,20,0,42,9,0.830798,85.00,0.624707,6.111589,7.215503,42.311405,0.0451,0.4062
both,symmetric,1.0,1.0,regret,top50,4,20,20,1,43,10,0.952074,85.00,0.564297,4.868388,5.774249,40.721752,0.0422,0.4219
both,symmetric,1.0,1.0,regret,top50,4,20,20,2,44,24,1.901479,95.00,1.177760,6.097481,1.143356,41.412101,0.0397,0.9531
both,symmetric,1.0,1.0,regret,top50,4,20,20,3,45,23,1.128879,95.00,0.801935,9.698641,0.987917,39.985351,0.0394,0.9062
both,symmetric,1.0,1.0,regret,top50,4,20,20,4,46,11,0.955566,85.00,0.775357,6.735824,5.148658,43.756132,0.0426,0.4688
both,symmetric,1.0,1.0,regret,top50,4,20,20,5,47,28,0.429784,95.00,0.938594,6.625186,1.955480,42.652962,0.0407,1.1406
both,symmetric,1.0,1.0,regret,top50,4,20,20,6,48,9,0.288834,85.00,0.554647,3.608104,12.320270,35.228684,0.0417,0.3750
both,symmetric,1.0,1.0,regret,top50,4,20,20,7,49,9,1.386258,85.00,1.114501,6.312014,5.998364,42.512311,0.0417,0.3750
both,symmetric,1.0,1.0,regret,top50,4,20,20,8,50,11,0.574869,95.00,0.689591,16.272321,2.371195,44.350403,0.0369,0.4062
both,symmetric,1.0,1.0,regret,top50,4,20,20,9,51,17,0.142749,100.00,0.962572,26.942281,0.648274,34.624234,0.0423,0.7188
both,symmetric,1.0,1.0,regret,top50,8,40,20,0,42,22,0.502965,95.00,0.768134,11.005002,2.220743,44.374250,0.0440,0.9688
both,symmetric,1.0,1.0,regret,top50,8,40,20,1,43,20,0.158589,95.00,0.971940,7.422242,8.407434,43.791200,0.0367,0.7344
both,symmetric,1.0,1.0,regret,top50,8,40,20,2,44,26,1.567568,95.00,1.211306,6.721766,0.492222,44.443883,0.0439,1.1406
both,symmetric,1.0,1.0,regret,top50,8,40,20,3,45,29,0.632543,95.00,1.093377,8.684899,1.207097,44.444308,0.0426,1.2344
both,symmetric,1.0,1.0,regret,top50,8,40,20,4,46,25,1.355641,100.00,0.461674,9.666767,1.047734,44.441926,0.0419,1.0469
both,symmetric,1.0,1.0,regret,top50,8,40,20,5,47,26,0.008878,100.00,0.907578,30.463225,1.062034,27.042693,0.0421,1.0938
both,symmetric,1.0,1.0,regret,top50,8,40,20,6,48,28,0.004805,100.00,1.179180,29.216819,1.877633,30.754304,0.0419,1.1719
both,symmetric,1.0,1.0,regret,top50,8,40,20,7,49,17,0.140295,95.00,0.965914,17.934313,2.110383,39.935004,0.0368,0.6250
both,symmetric,1.0,1.0,regret,top50,8,40,20,8,50,21,0.999573,100.00,1.400796,8.745600,0.765116,31.103974,0.0409,0.8594
both,symmetric,1.0,1.0,regret,top50,8,40,20,9,51,21,0.000458,100.00,1.320045,26.148306,0.934472,26.557708,0.0432,0.9062
both,symmetric,1.0,1.0,entropy,top50,1,5,20,0,42,4,0.159312,85.00,0.541034,6.787526,10.322079,40.514433,0.0469,0.1875
both,symmetric,1.0,1.0,entropy,top50,1,5,20,1,43,5,0.150271,85.00,0.614713,4.301071,8.442470,41.764881,0.0469,0.2344
both,symmetric,1.0,1.0,entropy,top50,1,5,20,2,44,7,0.223771,90.00,0.592326,7.031432,7.542063,40.619572,0.0424,0.2969
both,symmetric,1.0,1.0,entropy,top50,1,5,20,3,45,5,0.175766,95.00,0.820707,5.792033,12.254096,38.692337,0.0344,0.1719
both,symmetric,1.0,1.0,entropy,top50,1,5,20,4,46,6,0.238866,85.00,0.633741,5.173017,9.982935,41.866201,0.0417,0.2500
both,symmetric,1.0,1.0,entropy,top50,1,5,20,5,47,7,0.199746,85.00,0.414778,9.019666,10.193265,42.362704,0.0424,0.2969
both,symmetric,1.0,1.0,entropy,top50,1,5,20,6,48,7,0.183398,85.00,0.750353,0.906280,12.336132,35.284244,0.0424,0.2969
both,symmetric,1.0,1.0,entropy,top50,1,5,20,7,49,5,0.047671,80.00,0.521401,6.869400,11.010483,42.776517,0.0406,0.2031
both,symmetric,1.0,1.0,entropy,top50,1,5,20,8,50,7,0.272869,85.00,0.613338,4.817392,9.381830,44.131473,0.0379,0.2656
both,symmetric,1.0,1.0,entropy,top50,1,5,20,9,51,5,0.445417,85.00,0.600640,6.945525,6.356244,41.203749,0.0406,0.2031
both,symmetric,1.0,1.0,entropy,top50,2,10,20,0,42,8,0.139615,90.00,0.477979,4.338220,8.365356,40.941126,0.0391,0.3125
both,symmetric,1.0,1.0,entropy,top50,2,10,20,1,43,5,0.253115,85.00,0.604313,3.632626,11.574445,40.259323,0.0500,0.2500
both,symmetric,1.0,1.0,entropy,top50,2,10,20,2,44,20,0.527804,85.00,0.629622,6.751270,1.323805,40.422818,0.0430,0.8594
both,symmetric,1.0,1.0,entropy,top50,2,10,20,3,45,8,0.443822,90.00,0.814253,7.185683,4.176687,41.776225,0.0391,0.3125
