mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,6,48,26,2.027179,100.00,1.383442,8.468031,0.412628,44.444444,0.3516,9.1406
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,7,49,16,2.102835,100.00,0.734169,10.976992,0.412628,44.444444,0.3438,5.5000
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,8,50,15,4.741633,100.00,0.746268,11.693837,0.412628,44.444444,0.3448,5.1719
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,9,51,15,6.726500,100.00,0.661483,9.836973,0.412628,44.444444,0.3479,5.2188
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,0,42,2,0.422894,100.00,0.546119,5.626685,6.599835,44.361253,0.3281,0.6562
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1,43,2,0.574816,85.00,0.412514,5.213368,6.898073,44.410352,0.3438,0.6875
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,2,44,2,0.537149,85.00,0.552580,4.660450,6.706767,44.316320,0.3203,0.6406
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,3,45,2,0.512427,90.00,0.559077,3.432703,6.912183,44.423400,0.3125,0.6250
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,4,46,2,0.471536,95.00,0.548767,5.220056,6.574898,44.431021,0.3125,0.6250
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,5,47,2,0.468213,95.00,0.486015,6.022887,6.435615,44.428681,0.3359,0.6719
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,6,48,1,1.385019,85.00,0.416073,5.019251,8.884379,44.407062,0.3125,0.3125
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,7,49,2,0.537296,90.00,0.517559,5.595613,6.188261,44.412273,0.3359,0.6719
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,8,50,2,0.679478,95.00,0.500533,5.707482,6.276570,44.437539,0.3359,0.6719
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,9,51,1,1.065645,90.00,0.546935,6.067942,8.622777,44.350910,0.2969,0.2969
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,0,42,3,1.008427,90.00,0.602546,5.971467,3.758944,44.434212,0.3229,0.9688
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,1,43,2,1.042640,90.00,0.525200,4.640846,7.210182,44.420405,0.3359,0.6719
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,2,44,5,1.254945,95.00,0.550703,6.302053,1.583728,44.444444,0.3187,1.5938
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,3,45,4,0.938688,95.00,0.631440,5.542719,2.984241,44.444265,0.4688,1.8750
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,4,46,4,0.721024,95.00,0.498445,6.579707,3.556860,44.444260,0.4570,1.8281
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,5,47,4,1.151357,95.00,0.605976,6.408221,2.527523,44.444373,0.3672,1.4688
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,6,48,4,1.208627,95.00,0.323316,6.055273,2.850381,44.444242,0.4102,1.6406
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,7,49,3,0.855314,95.00,0.407854,8.208862,4.412937,44.444287,0.4062,1.2188
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,8,50,4,0.762613,95.00,0.580876,7.799038,3.173707,44.444037,0.4414,1.7656
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,9,51,5,1.284761,95.00,0.601291,5.634542,1.258036,44.444444,0.3969,1.9844
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,0,42,6,1.752095,95.00,0.528802,6.626402,1.258097,44.444443,0.3828,2.2969
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,1,43,6,1.647568,100.00,0.622690,8.140529,1.169211,44.444444,0.3724,2.2344
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,2,44,9,2.134607,95.00,0.747011,6.881607,0.412640,44.444444,0.4410,3.9688
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,3,45,9,1.390743,100.00,0.748551,8.316421,0.412637,44.444444,0.4219,3.7969
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,4,46,7,1.168988,100.00,0.579563,7.311070,0.462922,44.444444,0.4062,2.8438
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,5,47,7,1.045193,95.00,0.661789,7.574095,0.492006,44.444444,0.3504,2.4531
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,6,48,8,1.236001,100.00,0.633848,7.737711,0.455501,44.444444,0.3340,2.6719
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,7,49,6,1.061917,95.00,0.641197,6.763181,1.178413,44.444444,0.3021,1.8125
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,8,50,6,1.128767,95.00,0.619518,9.488786,1.183592,44.444444,0.3229,1.9375
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,9,51,8,1.695900,95.00,0.651140,8.355469,0.454599,44.444444,0.3125,2.5000
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,0,42,10,2.101819,100.00,0.664211,8.467971,0.412629,44.444444,0.3203,3.2031
