mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,symmetric,1.0,1.0,regret,top50,1,5,20,0,42,1,1.270247,85.00,0.583406,6.150920,10.575905,44.078699,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,1,43,1,0.857726,85.00,0.677142,6.110768,9.209246,44.272709,0.0312,0.0312
both,symmetric,1.0,1.0,regret,top50,1,5,20,2,44,1,0.883310,80.00,0.602174,5.635433,10.416201,44.322257,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,3,45,1,1.076873,75.00,0.602671,6.751976,10.568043,44.299241,0.0312,0.0312
both,symmetric,1.0,1.0,regret,top50,1,5,20,4,46,2,0.586189,85.00,0.724209,5.252508,12.440566,44.141904,0.0391,0.0781
both,symmetric,1.0,1.0,regret,top50,1,5,20,5,47,3,1.158491,85.00,0.517508,6.432935,11.344275,42.850015,0.0417,0.1250
both,symmetric,1.0,1.0,regret,top50,1,5,20,6,48,2,0.874045,85.00,0.622582,3.728979,12.231101,42.046587,0.0469,0.0938
both,symmetric,1.0,1.0,regret,top50,1,5,20,7,49,1,0.476529,75.00,0.470047,4.539802,10.379995,44.373466,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,8,50,2,0.516736,95.00,0.623499,6.587301,12.087955,43.841166,0.0391,0.0781
both,symmetric,1.0,1.0,regret,top50,1,5,20,9,51,2,0.925700,85.00,0.640139,9.445817,11.170514,44.364143,0.0312,0.0625
both,symmetric,1.0,1.0,regret,top50,2,10,20,0,42,6,1.432966,85.00,0.392599,7.313088,12.114134,43.815958,0.0391,0.2344
both,symmetric,1.0,1.0,regret,top50,2,10,20,1,43,1,1.751076,85.00,0.677142,6.110768,9.209246,44.272709,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,2,10,20,2,44,4,0.815945,85.00,0.761027,5.596539,12.644143,43.746230,0.0391,0.1562
both,symmetric,1.0,1.0,regret,top50,2,10,20,3,45,4,0.552205,85.00,0.504673,4.662870,12.820040,44.201724,0.0352,0.1406
both,symmetric,1.0,1.0,regret,top50,2,10,20,4,46,4,0.934387,85.00,0.731007,5.642392,10.534381,42.875248,0.0352,0.1406
both,symmetric,1.0,1.0,regret,top50,2,10,20,5,47,6,0.775271,85.00,0.510031,7.031964,12.895358,41.963246,0.0391,0.2344
both,symmetric,1.0,1.0,regret,top50,2,10,20,6,48,5,0.832194,75.00,0.509254,6.686759,12.728265,43.548398,0.0375,0.1875
both,symmetric,1.0,1.0,regret,top50,2,10,20,7,49,4,0.816649,80.00,0.777312,8.468293,11.788421,43.847611,0.0391,0.1562
both,symmetric,1.0,1.0,regret,top50,2,10,20,8,50,5,0.812920,85.00,0.620820,5.875172,12.587726,44.029675,0.0375,0.1875
both,symmetric,1.0,1.0,regret,top50,2,10,20,9,51,7,1.032950,80.00,0.462637,7.268783,14.049301,43.820517,0.0424,0.2969
both,symmetric,1.0,1.0,regret,top50,4,20,20,0,42,11,1.231034,95.00,0.499452,4.524172,13.260695,42.455684,0.0398,0.4375
both,symmetric,1.0,1.0,regret,top50,4,20,20,1,43,10,0.597748,95.00,0.609635,2.240983,12.480609,43.387548,0.0375,0.3750
both,symmetric,1.0,1.0,regret,top50,4,20,20,2,44,14,0.432181,95.00,0.857681,4.087130,13.939196,40.577032,0.0402,0.5625
both,symmetric,1.0,1.0,regret,top50,4,20,20,3,45,10,0.678799,85.00,0.632895,4.498240,13.639935,41.910934,0.0391,0.3906
both,symmetric,1.0,1.0,regret,top50,4,20,20,4,46,9,0.870253,95.00,0.554647,3.673171,13.322725,42.389212,0.0382,0.3438
both,symmetric,1.0,1.0,regret,top50,4,20,20,5,47,15,0.220980,85.00,0.670105,8.005393,13.931561,43.272627,0.0396,0.5938
both,symmetric,1.0,1.0,regret,top50,4,20,20,6,48,11,0.327613,95.00,0.666679,6.681885,13.616895,41.447507,0.0412,0.4531
both,symmetric,1.0,1.0,regret,top50,4,20,20,7,49,7,0.261403,85.00,0.672729,4.585974,14.232212,42.285743,0.0424,0.2969
both,symmetric,1.0,1.0,regret,top50,4,20,20,8,50,10,0.673778,90.00,0.624652,3.915901,12.967355,41.368310,0.0422,0.4219
both,symmetric,1.0,1.0,regret,top50,4,20,20,9,51,12,0.064299,85.00,0.581788,3.388706,12.898515,43.391636,0.0378,0.4531
both,symmetric,1.0,1.0,regret,top50,8,40,20,0,42,14,0.437623,95.00,0.347356,3.721240,12.496174,41.573387,0.0413,0.5781
both,symmetric,1.0,1.0,regret,top50,8,40,20,1,43,14,0.334986,95.00,0.717270,3.724962,12.651979,42.400871,0.0391,0.5469
both,symmetric,1.0,1.0,regret,top50,8,40,20,2,44,16,0.274432,95.00,0.883984,9.048524,13.746873,37.591270,0.0430,0.6875
both,symmetric,1.0,1.0,regret,top50,8,40,20,3,45,11,0.499521,90.00,0.611317,3.458360,13.260348,41.919635,0.0412,0.4531
both,symmetric,1.0,1.0,regret,top50,8,40,20,4,46,11,0.658956,95.00,0.595112,3.948569,13.393195,42.945933,0.0412,0.4531
both,symmetric,1.0,1.0,regret,top50,8,40,20,5,47,12,0.608342,85.00,0.629731,4.897649,12.993669,41.474631,0.0417,0.5000
both,symmetric,1.0,1.0,regret,top50,8,40,20,6,48,15,0.620707,95.00,0.764810,6.650575,14.801417,43.862024,0.0417,0.6250
both,symmetric,1.0,1.0,regret,top50,8,40,20,7,49,9,0.924285,100.00,0.538484,6.492706,12.424586,41.904291,0.0417,0.3750
both,symmetric,1.0,1.0,regret,top50,8,40,20,8,50,20,0.044023,85.00,0.921874,4.995035,15.483546,39.025565,0.0414,0.8281
both,symmetric,1.0,1.0,regret,top50,8,40,20,9,51,41,0.038218,90.00,0.345678,23.031019,16.000223,30.530773,0.0393,1.6094
both,symmetric,1.0,1.0,entropy,top50,1,5,20,0,42,5,0.151460,85.00,0.514471,9.068050,11.246947,43.108454,0.0437,0.2188
both,symmetric,1.0,1.0,entropy,top50,1,5,20,1,43,7,0.063625,90.00,0.598384,8.760756,12.565452,42.005779,0.0402,0.2812
both,symmetric,1.0,1.0,entropy,top50,1,5,20,2,44,6,0.268628,85.00,0.466617,8.569947,12.183316,43.658204,0.0417,0.2500
both,symmetric,1.0,1.0,entropy,top50,1,5,20,3,45,6,0.261470,85.00,0.527627,5.450202,11.519320,43.001008,0.0443,0.2656
both,symmetric,1.0,1.0,entropy,top50,1,5,20,4,46,7,0.061222,75.00,0.724709,5.107546,12.058545,42.183460,0.0402,0.2812
both,symmetric,1.0,1.0,entropy,top50,1,5,20,5,47,8,0.278803,85.00,0.547282,8.221111,13.420160,42.003828,0.0391,0.3125
both,symmetric,1.0,1.0,entropy,top50,1,5,20,6,48,9,0.338838,85.00,0.755519,6.359799,13.029002,41.326204,0.0382,0.3438
both,symmetric,1.0,1.0,entropy,top50,1,5,20,7,49,4,0.409851,85.00,0.735310,5.779782,11.685020,44.086463,0.0391,0.1562
both,symmetric,1.0,1.0,entropy,top50,1,5,20,8,50,6,0.132263,90.00,0.476224,6.527261,12.333830,43.632151,0.0391,0.2344
both,symmetric,1.0,1.0,entropy,top50,1,5,20,9,51,6,0.349898,75.00,0.622346,4.809825,12.341568,44.292606,0.0391,0.2344
both,symmetric,1.0,1.0,entropy,top50,2,10,20,0,42,8,0.664051,95.00,0.628433,5.986261,12.277803,43.490812,0.0430,0.3438
both,symmetric,1.0,1.0,entropy,top50,2,10,20,1,43,7,0.191453,95.00,0.533987,7.047755,12.576404,42.462304,0.0402,0.2812
both,symmetric,1.0,1.0,entropy,top50,2,10,20,2,44,17,0.084229,85.00,1.170962,6.517737,13.741826,42.386854,0.0423,0.7188
both,symmetric,1.0,1.0,entropy,top50,2,10,20,3,45,9,0.146946,95.00,0.527566,7.267956,13.069546,41.035745,0.0417,0.3750
both,symmetric,1.0,1.0,entropy,top50,2,10,20,4,46,7,0.303136,85.00,0.591595,5.150732,10.906819,43.632519,0.0424,0.2969
both,symmetric,1.0,1.0,entropy,top50,2,10,20,5,47,11,0.235440,85.00,0.514744,5.817636,12.671346,42.093007,0.0426,0.4688
both,symmetric,1.0,1.0,entropy,top50,2,10,20,6,48,11,0.193142,95.00,0.764467,5.845941,14.826510,43.567483,0.0398,0.4375
both,symmetric,1.0,1.0,entropy,top50,2,10,20,7,49,6,0.310384,85.00,0.627982,7.241544,12.593869,43.995364,0.0469,0.2812
both,symmetric,1.0,1.0,entropy,top50,2,10,20,8,50,10,0.222158,80.00,0.521790,8.693220,14.227177,43.618121,0.0437,0.4375
both,symmetric,1.0,1.0,entropy,top50,2,10,20,9,51,15,0.197036,85.00,0.461602,7.992096,13.877818,44.370407,0.0406,0.6094
both,symmetric,1.0,1.0,entropy,top50,4,20,20,0,42,16,0.295404,85.00,0.529368,4.228450,12.980962,40.337685,0.0439,0.7031
both,symmetric,1.0,1.0,entropy,top50,4,20,20,1,43,13,0.337545,85.00,0.753160,6.661857,12.298622,42.370156,0.0433,0.5625
both,symmetric,1.0,1.0,entropy,top50,4,20,20,2,44,19,0.203979,85.00,0.961016,6.344782,13.245034,43.779679,0.0403,0.7656
both,symmetric,1.0,1.0,entropy,top50,4,20,20,3,45,14,0.244556,75.00,0.681052,6.033026,13.412743,43.755484,0.0413,0.5781
both,symmetric,1.0,1.0,entropy,top50,4,20,20,4,46,13,0.123070,85.00,0.496483,7.108749,12.014056,40.724918,0.0409,0.5312
both,symmetric,1.0,1.0,entropy,top50,4,20,20,5,47,16,0.228152,90.00,0.612413,8.636434,12.409541,42.681761,0.0439,0.7031
both,symmetric,1.0,1.0,entropy,top50,4,20,20,6,48,15,0.227402,95.00,0.438366,10.878801,14.447446,43.443719,0.0417,0.6250
both,symmetric,1.0,1.0,entropy,top50,4,20,20,7,49,8,0.183229,95.00,0.845983,7.199628,12.277048,42.636106,0.0410,0.3281
both,symmetric,1.0,1.0,entropy,top50,4,20,20,8,50,12,0.242012,95.00,1.041580,9.808926,12.368342,43.612988,0.0443,0.5312
both,symmetric,1.0,1.0,entropy,top50,4,20,20,9,51,18,0.210363,95.00,0.533417,13.269166,12.959548,44.166465,0.0443,0.7969
both,symmetric,1.0,1.0,entropy,top50,8,40,20,0,42,15,0.514390,95.00,0.417108,7.565502,11.787770,42.047533,0.0490,0.7344
both,symmetric,1.0,1.0,entropy,top50,8,40,20,1,43,15,0.639874,95.00,0.833449,8.719648,12.957738,42.528667,0.0458,0.6875
both,symmetric,1.0,1.0,entropy,top50,8,40,20,2,44,22,0.316380,75.00,1.194733,6.182826,13.792693,43.571204,0.0469,1.0312
both,symmetric,1.0,1.0,entropy,top50,8,40,20,3,45,15,0.346714,85.00,0.570225,8.936665,13.344923,39.770774,0.0469,0.7031
both,symmetric,1.0,1.0,entropy,top50,8,40,20,4,46,16,0.403100,85.00,0.733124,10.759235,11.034080,43.681131,0.0469,0.7500
both,symmetric,1.0,1.0,entropy,top50,8,40,20,5,47,16,0.439160,85.00,0.608287,11.524343,13.278113,42.643179,0.0459,0.7344
both,symmetric,1.0,1.0,entropy,top50,8,40,20,6,48,22,0.261772,95.00,0.958575,6.198750,13.061111,44.320011,0.0462,1.0156
both,symmetric,1.0,1.0,entropy,top50,8,40,20,7,49,13,0.562542,95.00,0.658823,5.732047,12.228017,41.771943,0.0457,0.5938
both,symmetric,1.0,1.0,entropy,top50,8,40,20,8,50,20,0.262634,85.00,0.704886,11.431674,13.494039,43.491597,0.0453,0.9062
both,symmetric,1.0,1.0,entropy,top50,8,40,20,9,51,22,1.723662,85.00,0.739828,11.669711,13.625702,43.007981,0.0440,0.9688
