network,optimizer,fitness_type,chance_temperature,utility_temperature,pct,n_decision_rules,total_rules,rep,seed,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,stop_generation,cpu_total
bypass,umda,softmax,0.5,1.0,10,2,20,0,42,65.0,46.8,35.0,,0,50,3.15625
bypass,umda,softmax,0.5,1.0,10,2,20,1,43,75.0,52.9,35.0,,0,50,2.859375
bypass,umda,softmax,0.5,1.0,10,2,20,2,44,85.0,76.5,65.0,,0,50,2.65625
bypass,umda,softmax,0.5,1.0,10,2,20,3,45,65.0,51.0,35.0,,0,50,2.6875
bypass,umda,softmax,0.5,1.0,10,2,20,4,46,95.0,79.0,55.00000000000001,,0,50,2.671875
bypass,umda,softmax,0.5,2.0,10,2,20,0,42,65.0,43.6,25.0,,0,50,2.734375
bypass,umda,softmax,0.5,2.0,10,2,20,1,43,85.0,67.9,45.0,,0,50,3.15625
bypass,umda,softmax,0.5,2.0,10,2,20,2,44,85.0,71.2,55.00000000000001,,0,50,2.765625
bypass,umda,softmax,0.5,2.0,10,2,20,3,45,55.00000000000001,41.6,25.0,,0,50,2.796875
bypass,umda,softmax,0.5,2.0,10,2,20,4,46,85.0,72.4,55.00000000000001,,0,50,2.765625
bypass,umda,softmax,1.0,0.5,10,2,20,0,42,75.0,58.2,45.0,,0,50,2.734375
bypass,umda,softmax,1.0,0.5,10,2,20,1,43,75.0,55.4,35.0,,0,50,2.765625
bypass,umda,softmax,1.0,0.5,10,2,20,2,44,85.0,71.8,55.00000000000001,,0,50,3.234375
bypass,umda,softmax,1.0,0.5,10,2,20,3,45,95.0,73.2,45.0,,0,50,2.890625
bypass,umda,softmax,1.0,0.5,10,2,20,4,46,95.0,72.7,45.0,,0,50,2.875
bypass,umda,softmax,1.0,1.0,10,2,20,0,42,65.0,54.6,45.0,,0,50,2.765625
bypass,umda,softmax,1.0,1.0,10,2,20,1,43,75.0,63.4,45.0,,0,50,2.90625
bypass,umda,softmax,1.0,1.0,10,2,20,2,44,85.0,67.0,55.00000000000001,,0,50,2.78125
bypass,umda,softmax,1.0,1.0,10,2,20,3,45,95.0,74.0,55.00000000000001,,0,50,2.921875
bypass,umda,softmax,1.0,1.0,10,2,20,4,46,85.0,71.1,55.00000000000001,,0,50,2.90625
bypass,umda,softmax,1.0,2.0,10,2,20,0,42,45.0,35.1,25.0,,0,50,2.671875
bypass,umda,softmax,1.0,2.0,10,2,20,1,43,75.0,54.1,35.0,,0,50,2.71875
bypass,umda,softmax,1.0,2.0,10,2,20,2,44,85.0,72.7,55.00000000000001,,0,50,2.859375
bypass,umda,softmax,1.0,2.0,10,2,20,3,45,85.0,67.0,45.0,,0,50,3.015625
bypass,umda,softmax,1.0,2.0,10,2,20,4,46,85.0,67.3,45.0,,0,50,2.984375
bypass,umda,softmax,2.0,0.5,10,2,20,0,42,75.0,61.4,55.00000000000001,,0,50,2.75
bypass,umda,softmax,2.0,0.5,10,2,20,1,43,75.0,66.6,55.00000000000001,,0,50,2.8125
bypass,umda,softmax,2.0,0.5,10,2,20,2,44,75.0,59.4,45.0,,0,50,2.78125
bypass,umda,softmax,2.0,0.5,10,2,20,3,45,85.0,62.0,45.0,,0,50,2.875
bypass,umda,softmax,2.0,0.5,10,2,20,4,46,85.0,69.1,50.0,,0,50,2.890625
bypass,umda,softmax,2.0,1.0,10,2,20,0,42,65.0,53.8,45.0,,0,50,2.515625
bypass,umda,softmax,2.0,1.0,10,2,20,1,43,85.0,71.4,55.00000000000001,,0,50,3.109375
bypass,umda,softmax,2.0,1.0,10,2,20,2,44,85.0,70.8,55.00000000000001,,0,50,3.53125
bypass,umda,softmax,2.0,1.0,10,2,20,3,45,95.0,82.0,65.0,,0,50,2.765625
bypass,umda,softmax,2.0,1.0,10,2,20,4,46,95.0,81.3,65.0,,0,50,2.78125
bypass,umda,softmax,2.0,2.0,10,2,20,0,42,75.0,58.1,55.00000000000001,,0,50,2.640625
bypass,umda,softmax,2.0,2.0,10,2,20,1,43,85.0,68.7,45.0,,0,50,2.78125
bypass,umda,softmax,2.0,2.0,10,2,20,2,44,75.0,69.0,55.00000000000001,,0,50,2.75
bypass,umda,softmax,2.0,2.0,10,2,20,3,45,75.0,63.0,45.0,,0,50,2.625
bypass,umda,softmax,2.0,2.0,10,2,20,4,46,85.0,65.9,45.0,,0,50,2.59375
bypass,umda,regret,0.5,0.5,10,2,20,0,42,60.0,47.3,35.0,47.3,50,50,2.671875
bypass,umda,regret,0.5,0.5,10,2,20,1,43,85.0,57.4,25.0,57.4,50,50,2.71875
bypass,umda,regret,0.5,0.5,10,2,20,2,44,75.0,54.6,35.0,54.6,50,50,2.8125
bypass,umda,regret,0.5,0.5,10,2,20,3,45,75.0,57.9,35.0,57.9,50,50,3.640625
bypass,umda,regret,0.5,0.5,10,2,20,4,46,90.0,68.5,40.0,68.5,50,50,3.921875
bypass,umda,regret,0.5,1.0,10,2,20,0,42,70.0,54.0,35.0,54.0,50,50,5.671875
bypass,umda,regret,0.5,1.0,10,2,20,1,43,85.0,63.7,40.0,63.7,50,50,3.9375
bypass,umda,regret,0.5,1.0,10,2,20,2,44,85.0,66.6,45.0,66.6,50,50,3.609375
bypass,umda,regret,0.5,1.0,10,2,20,3,45,70.0,58.1,45.0,58.1,50,50,4.359375
bypass,umda,regret,0.5,1.0,10,2,20,4,46,95.0,76.7,65.0,76.7,50,50,2.734375
bypass,umda,regret,0.5,2.0,10,2,20,0,42,75.0,61.6,40.0,61.6,50,50,3.25
