network,optimizer,pct,stop_mode,rep,seed,acc
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,95.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,85.0
bypass,egna,5,top90,5,47,85.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,60.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,80.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,60.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,90.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,35.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,35.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,50.0
bypass,egna,5,top90,6,48,75.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,85.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,50.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,75.0
bypass,egna,5,top90,6,48,70.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,45.0
bypass,egna,5,top90,6,48,45.0
bypass,egna,5,top90,6,48,50.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,45.0
bypass,egna,5,top90,6,48,45.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,70.0
bypass,egna,5,top90,6,48,45.0
bypass,egna,5,top90,6,48,45.0
bypass,egna,5,top90,6,48,45.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,40.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,85.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,70.0
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,75.0
bypass,egna,5,top90,7,49,45.0
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,35.0
bypass,egna,5,top90,7,49,75.0
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,75.0
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,50.0
bypass,egna,5,top90,7,49,35.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,85.0
bypass,egna,5,top90,7,49,75.0
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,50.0
bypass,egna,5,top90,7,49,35.0
bypass,egna,5,top90,7,49,85.0
bypass,egna,5,top90,7,49,70.0
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,55.00000000000001
bypass,egna,5,top90,7,49,40.0
bypass,egna,5,top90,7,49,45.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,75.0
bypass,egna,5,top90,7,49,60.0
bypass,egna,5,top90,7,49,85.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,65.0
bypass,egna,5,top90,7,49,90.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,45.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,45.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,70.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,70.0
bypass,egna,5,top90,8,50,70.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,75.0
bypass,egna,5,top90,8,50,45.0
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,80.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,35.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,35.0
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,35.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,45.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,55.00000000000001
bypass,egna,5,top90,8,50,60.0
bypass,egna,5,top90,8,50,70.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,65.0
bypass,egna,5,top90,8,50,50.0
bypass,egna,5,top90,9,51,15.0
bypass,egna,5,top90,9,51,45.0
bypass,egna,5,top90,9,51,25.0
bypass,egna,5,top90,9,51,30.0
bypass,egna,5,top90,9,51,25.0
bypass,egna,5,top90,9,51,35.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,45.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,70.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,25.0
bypass,egna,5,top90,9,51,70.0
bypass,egna,5,top90,9,51,65.0
bypass,egna,5,top90,9,51,65.0
bypass,egna,5,top90,9,51,50.0
bypass,egna,5,top90,9,51,50.0
bypass,egna,5,top90,9,51,70.0
bypass,egna,5,top90,9,51,50.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,35.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,80.0
bypass,egna,5,top90,9,51,45.0
bypass,egna,5,top90,9,51,65.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,25.0
bypass,egna,5,top90,9,51,60.0
bypass,egna,5,top90,9,51,35.0
bypass,egna,5,top90,9,51,70.0
bypass,egna,5,top90,9,51,40.0
bypass,egna,5,top90,9,51,30.0
bypass,egna,5,top90,9,51,25.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,65.0
bypass,egna,5,top90,9,51,35.0
bypass,egna,5,top90,9,51,65.0
bypass,egna,5,top90,9,51,60.0
bypass,egna,5,top90,9,51,35.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,60.0
bypass,egna,5,top90,9,51,65.0
bypass,egna,5,top90,9,51,55.00000000000001
bypass,egna,5,top90,9,51,35.0
bypass,egna,5,top90,9,51,45.0
bypass,egna,5,top90,9,51,70.0
bypass,egna,5,top90,9,51,70.0
bypass,egna,5,top90,9,51,60.0
bypass,egna,5,top90,9,51,70.0
bypass,egna,5,top90,9,51,25.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,65.0
bypass,egna,10,top90,0,42,65.0
