net,trigger,optimizer,rep,fitness_type,seed,size_gen,mode,total_rules,gen,n_train_rules,rule_added_after_gen,max_accuracy,n_rules_correct,mean_accuracy,pct_success_indv,gen_cpu_time
nhlv1,success,umda,1,regret,43,50,utility_only,67,52,6,False,71.64179104477611,48,69.22388059701493,0.0,13.375
nhlv1,success,umda,1,regret,43,50,utility_only,67,53,6,False,73.13432835820896,49,69.82089552238807,0.0,13.625
nhlv1,success,umda,1,regret,43,50,utility_only,67,54,6,False,73.13432835820896,49,69.82089552238806,0.0,13.515625
nhlv1,success,umda,1,regret,43,50,utility_only,67,55,6,False,71.64179104477611,48,70.05970149253731,0.0,13.25
nhlv1,success,umda,1,regret,43,50,utility_only,67,56,6,False,73.13432835820896,49,70.08955223880598,0.0,13.734375
nhlv1,success,umda,1,regret,43,50,utility_only,67,57,6,False,74.6268656716418,50,70.68656716417911,0.0,13.59375
nhlv1,success,umda,1,regret,43,50,utility_only,67,58,6,False,74.6268656716418,50,70.68656716417911,0.0,13.359375
nhlv1,success,umda,1,regret,43,50,utility_only,67,59,6,False,73.13432835820896,49,70.77611940298507,0.0,13.234375
nhlv1,success,umda,1,regret,43,50,utility_only,67,60,6,False,73.13432835820896,49,70.59701492537314,0.0,13.28125
nhlv1,success,umda,1,regret,43,50,utility_only,67,61,6,False,73.13432835820896,49,70.83582089552239,0.0,13.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,62,6,False,73.13432835820896,49,71.13432835820896,0.0,13.53125
nhlv1,success,umda,1,regret,43,50,utility_only,67,63,6,False,73.13432835820896,49,71.46268656716418,0.0,13.515625
nhlv1,success,umda,1,regret,43,50,utility_only,67,64,6,False,73.13432835820896,49,71.3731343283582,0.0,13.46875
nhlv1,success,umda,1,regret,43,50,utility_only,67,65,6,False,73.13432835820896,49,71.46268656716418,0.0,13.484375
nhlv1,success,umda,1,regret,43,50,utility_only,67,66,6,False,74.6268656716418,50,71.43283582089552,0.0,13.171875
nhlv1,success,umda,1,regret,43,50,utility_only,67,67,6,False,74.6268656716418,50,71.61194029850748,0.0,13.390625
nhlv1,success,umda,1,regret,43,50,utility_only,67,68,6,False,74.6268656716418,50,71.76119402985076,0.0,13.515625
nhlv1,success,umda,1,regret,43,50,utility_only,67,69,6,False,74.6268656716418,50,71.7313432835821,0.0,13.5625
nhlv1,success,umda,1,regret,43,50,utility_only,67,70,6,False,74.6268656716418,50,71.82089552238807,0.0,13.328125
nhlv1,success,umda,1,regret,43,50,utility_only,67,71,6,False,74.6268656716418,50,71.76119402985076,0.0,13.15625
nhlv1,success,umda,1,regret,43,50,utility_only,67,72,6,False,74.6268656716418,50,71.88059701492539,0.0,13.609375
nhlv1,success,umda,1,regret,43,50,utility_only,67,73,6,False,74.6268656716418,50,71.97014925373134,0.0,13.40625
nhlv1,success,umda,1,regret,43,50,utility_only,67,74,6,False,74.6268656716418,50,71.7313432835821,0.0,13.734375
nhlv1,success,umda,1,regret,43,50,utility_only,67,75,6,False,74.6268656716418,50,71.79104477611942,0.0,15.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,76,6,False,74.6268656716418,50,71.73134328358209,0.0,19.3125
nhlv1,success,umda,1,regret,43,50,utility_only,67,77,6,False,74.6268656716418,50,71.67164179104479,0.0,15.03125
nhlv1,success,umda,1,regret,43,50,utility_only,67,78,6,False,73.13432835820896,49,71.76119402985076,0.0,13.8125
nhlv1,success,umda,1,regret,43,50,utility_only,67,79,6,False,74.6268656716418,50,71.88059701492539,0.0,13.640625
nhlv1,success,umda,1,regret,43,50,utility_only,67,80,6,False,74.6268656716418,50,71.88059701492539,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,81,6,False,74.6268656716418,50,72.35820895522389,0.0,13.765625
nhlv1,success,umda,1,regret,43,50,utility_only,67,82,6,False,77.61194029850746,52,72.00000000000001,0.0,13.75
nhlv1,success,umda,1,regret,43,50,utility_only,67,83,6,False,76.11940298507463,51,72.02985074626866,0.0,13.46875
nhlv1,success,umda,1,regret,43,50,utility_only,67,84,6,False,74.6268656716418,50,72.1492537313433,0.0,13.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,85,6,False,76.11940298507463,51,72.00000000000001,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,86,6,False,76.11940298507463,51,72.23880597014926,0.0,13.28125
nhlv1,success,umda,1,regret,43,50,utility_only,67,87,6,False,74.6268656716418,50,72.20895522388061,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,88,6,False,74.6268656716418,50,72.08955223880598,0.0,13.15625
nhlv1,success,umda,1,regret,43,50,utility_only,67,89,6,False,74.6268656716418,50,72.35820895522389,0.0,13.390625
nhlv1,success,umda,1,regret,43,50,utility_only,67,90,6,False,74.6268656716418,50,72.17910447761194,0.0,13.765625
nhlv1,success,umda,1,regret,43,50,utility_only,67,91,6,False,74.6268656716418,50,72.47761194029852,0.0,13.40625
nhlv1,success,umda,1,regret,43,50,utility_only,67,92,6,False,74.6268656716418,50,72.29850746268657,0.0,13.578125
nhlv1,success,umda,1,regret,43,50,utility_only,67,93,6,False,74.6268656716418,50,72.20895522388061,0.0,13.46875
nhlv1,success,umda,1,regret,43,50,utility_only,67,94,6,False,74.6268656716418,50,72.20895522388061,0.0,13.515625
nhlv1,success,umda,1,regret,43,50,utility_only,67,95,6,False,74.6268656716418,50,72.20895522388061,0.0,13.40625
nhlv1,success,umda,1,regret,43,50,utility_only,67,96,6,False,74.6268656716418,50,72.29850746268657,0.0,13.171875
nhlv1,success,umda,1,regret,43,50,utility_only,67,97,6,False,74.6268656716418,50,72.29850746268657,0.0,13.609375
nhlv1,success,umda,1,regret,43,50,utility_only,67,98,6,False,74.6268656716418,50,72.44776119402987,0.0,13.4375
nhlv1,success,umda,1,regret,43,50,utility_only,67,99,6,False,77.61194029850746,52,72.71641791044776,0.0,13.53125
nhlv1,success,umda,1,regret,43,50,utility_only,67,100,6,False,74.6268656716418,50,72.56716417910448,0.0,13.890625
nhlv1,success,umda,2,regret,44,50,utility_only,67,1,1,False,79.1044776119403,53,41.044776119402975,0.0,13.109375
nhlv1,success,umda,2,regret,44,50,utility_only,67,2,1,True,79.1044776119403,53,45.28358208955224,0.0,13.34375
nhlv1,success,umda,2,regret,44,50,utility_only,67,3,2,False,80.59701492537313,54,36.74626865671641,0.0,13.0
nhlv1,success,umda,2,regret,44,50,utility_only,67,4,2,True,80.59701492537313,54,48.895522388059696,0.0,13.203125
nhlv1,success,umda,2,regret,44,50,utility_only,67,5,3,False,83.5820895522388,56,43.76119402985075,0.0,13.1875
nhlv1,success,umda,2,regret,44,50,utility_only,67,6,3,False,82.08955223880598,55,43.52238805970149,0.0,12.890625
nhlv1,success,umda,2,regret,44,50,utility_only,67,7,3,True,79.1044776119403,53,51.28358208955224,0.0,13.0
nhlv1,success,umda,2,regret,44,50,utility_only,67,8,4,True,85.07462686567165,57,57.01492537313434,0.0,13.421875
nhlv1,success,umda,2,regret,44,50,utility_only,67,9,5,True,80.59701492537313,54,64.68656716417911,0.0,13.390625
nhlv1,success,umda,2,regret,44,50,utility_only,67,10,6,True,83.5820895522388,56,61.25373134328359,0.0,13.03125
nhlv1,success,umda,2,regret,44,50,utility_only,67,11,7,True,82.08955223880598,55,62.2089552238806,0.0,13.53125
nhlv1,success,umda,2,regret,44,50,utility_only,67,12,8,True,85.07462686567165,57,65.07462686567165,0.0,13.09375
nhlv1,success,umda,2,regret,44,50,utility_only,67,13,9,True,83.5820895522388,56,66.47761194029852,0.0,12.984375
nhlv1,success,umda,2,regret,44,50,utility_only,67,14,10,True,82.08955223880598,55,69.19402985074628,0.0,12.796875
nhlv1,success,umda,2,regret,44,50,utility_only,67,15,11,True,82.08955223880598,55,71.70149253731343,0.0,13.421875
nhlv1,success,umda,2,regret,44,50,utility_only,67,16,12,True,83.5820895522388,56,72.5671641791045,0.0,13.296875
nhlv1,success,umda,2,regret,44,50,utility_only,67,17,13,True,82.08955223880598,55,73.5223880597015,0.0,13.375
nhlv1,success,umda,2,regret,44,50,utility_only,67,18,14,True,82.08955223880598,55,73.55223880597015,0.0,13.3125
nhlv1,success,umda,2,regret,44,50,utility_only,67,19,15,True,83.5820895522388,56,71.07462686567165,0.0,13.46875
nhlv1,success,umda,2,regret,44,50,utility_only,67,20,16,True,85.07462686567165,57,73.07462686567165,0.0,13.5
nhlv1,success,umda,2,regret,44,50,utility_only,67,21,17,True,82.08955223880598,55,74.71641791044776,0.0,13.234375
nhlv1,success,umda,2,regret,44,50,utility_only,67,22,18,False,82.08955223880598,55,76.26865671641791,0.0,13.21875
nhlv1,success,umda,2,regret,44,50,utility_only,67,23,18,False,85.07462686567165,57,76.2089552238806,0.0,13.203125
nhlv1,success,umda,2,regret,44,50,utility_only,67,24,18,False,86.56716417910447,58,77.76119402985074,0.0,12.9375
nhlv1,success,umda,2,regret,44,50,utility_only,67,25,18,True,85.07462686567165,57,79.67164179104478,0.0,13.21875
