net,optimizer,fitness_type,rules_pct,n_train_rules,noise,n_noisy_rules,n_correct_rules,rep,seed,size_gen,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,umda,regret,60,12,0.5,6,6,2,44,50,20,60,60.0,49.1,0.6578153033275791,31.129752129087642,4.171875
bypass2,umda,regret,60,12,0.5,6,6,3,45,50,20,60,60.0,43.3,1.1834102309114627,9.630022490823304,4.015625
bypass2,umda,regret,60,12,0.5,6,6,4,46,50,20,60,75.0,67.4,1.1076094971329884,19.699349387643174,3.828125
bypass2,umda,regret,60,12,0.5,6,6,5,47,50,20,16,75.0,61.1,0.6667987649006115,7.854079694048707,1.09375
bypass2,umda,regret,60,12,0.5,6,6,6,48,50,20,60,80.0,54.6,1.134501775139171,17.28473453510983,4.125
bypass2,umda,regret,60,12,0.5,6,6,7,49,50,20,60,70.0,53.6,1.443949765522546,24.579145198233405,3.875
bypass2,umda,regret,60,12,0.5,6,6,8,50,50,20,42,70.0,59.1,0.6353368473613489,5.841848311273057,2.71875
bypass2,umda,regret,60,12,0.5,6,6,9,51,50,20,60,70.0,59.8,0.3570783584050826,30.109591205868284,4.046875
bypass2,emna,regret,20,4,0.0,0,4,0,42,50,20,11,95.0,64.0,0.6516000641055563,3.414785481238643,0.71875
bypass2,emna,regret,20,4,0.0,0,4,1,43,50,20,8,85.0,58.6,0.5583112345533069,14.964220655925086,0.609375
bypass2,emna,regret,20,4,0.0,0,4,2,44,50,20,20,100.0,66.3,1.080999034006811,15.568022012766537,1.359375
bypass2,emna,regret,20,4,0.0,0,4,3,45,50,20,9,85.0,58.7,0.9352304447337038,4.65826651143249,0.671875
bypass2,emna,regret,20,4,0.0,0,4,4,46,50,20,17,85.0,67.5,1.1945523006271255,2.7409902852442447,1.09375
bypass2,emna,regret,20,4,0.0,0,4,5,47,50,20,12,75.0,55.8,0.6702937119794143,15.86570149586125,0.78125
bypass2,emna,regret,20,4,0.0,0,4,6,48,50,20,6,90.0,64.8,0.6448873680192068,2.703492646382099,0.421875
bypass2,emna,regret,20,4,0.0,0,4,7,49,50,20,6,85.0,56.7,0.7111360206286781,7.632428371304771,0.40625
bypass2,emna,regret,20,4,0.0,0,4,8,50,50,20,9,85.0,54.8,0.6410423534918274,8.952515998600296,0.609375
