network,optimizer,mode,pct,n_decision_rules,total_rules,stop_mode,rep,seed,pop_size,n_satisfiers,frac_satisfiers,sat_acc_mean,sat_acc_std,sat_acc_best,sat_acc_worst,pop_acc_mean,pop_acc_best,pop_acc_worst,best_fitness,stop_generation,cpu_total
bypass,umda,both,10,2,20,top90,8,50,50,50,1.0,64.8,1.3999999999999992,65.0,55.00000000000001,64.8,65.0,55.00000000000001,0.0,50,2.140625
bypass,umda,both,10,2,20,top90,9,51,50,50,1.0,44.1,5.26212884676915,55.00000000000001,35.0,44.1,55.00000000000001,35.0,0.0,50,2.140625
bypass,umda,both,20,4,20,top10,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.25
bypass,umda,both,20,4,20,top10,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top10,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.25
bypass,umda,both,20,4,20,top10,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.21875
bypass,umda,both,20,4,20,top10,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.328125
bypass,umda,both,20,4,20,top10,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.234375
bypass,umda,both,20,4,20,top10,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.234375
bypass,umda,both,20,4,20,top10,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.234375
bypass,umda,both,20,4,20,top10,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.15625
bypass,umda,both,20,4,20,top10,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.25
bypass,umda,both,20,4,20,top30,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.15625
bypass,umda,both,20,4,20,top30,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.171875
bypass,umda,both,20,4,20,top30,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top30,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.265625
bypass,umda,both,20,4,20,top30,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top30,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.28125
bypass,umda,both,20,4,20,top30,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top30,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.078125
bypass,umda,both,20,4,20,top30,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top30,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.296875
bypass,umda,both,20,4,20,top50,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.171875
bypass,umda,both,20,4,20,top50,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.15625
bypass,umda,both,20,4,20,top50,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.140625
bypass,umda,both,20,4,20,top50,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.171875
bypass,umda,both,20,4,20,top50,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.125
bypass,umda,both,20,4,20,top70,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top70,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top70,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.265625
bypass,umda,both,20,4,20,top70,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.296875
bypass,umda,both,20,4,20,top70,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top70,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.109375
bypass,umda,both,20,4,20,top70,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.203125
bypass,umda,both,20,4,20,top70,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.1875
bypass,umda,both,20,4,20,top70,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.140625
bypass,umda,both,20,4,20,top70,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.1875
bypass,umda,both,20,4,20,top90,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.265625
bypass,umda,both,20,4,20,top90,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.25
