mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,margin,top50,1,5,7,0.754522,51.40,1.547334,15.407931,12.416138,31.561665
both,non_symmetric,1.0,1.0,margin,top50,1,5,8,0.747724,51.28,1.562003,15.592494,12.299212,31.697042
both,non_symmetric,1.0,1.0,margin,top50,4,20,1,7.056722,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,margin,top50,4,20,2,6.301964,50.64,1.395896,16.078942,13.011497,33.557815
both,non_symmetric,1.0,1.0,margin,top50,4,20,3,5.250862,51.94,1.464489,14.842531,13.160651,31.418941
both,non_symmetric,1.0,1.0,margin,top50,4,20,4,4.860900,51.52,1.496116,14.174180,11.978784,30.660412
both,non_symmetric,1.0,1.0,margin,top50,4,20,5,4.349831,52.00,1.523463,14.223209,10.841385,31.545844
both,non_symmetric,1.0,1.0,margin,top50,4,20,6,3.950432,55.66,1.616377,15.023037,10.189486,32.414221
both,non_symmetric,1.0,1.0,margin,top50,4,20,7,4.043078,55.40,1.642859,15.826029,9.425001,32.081581
both,non_symmetric,1.0,1.0,margin,top50,4,20,8,3.853805,56.46,1.613335,15.722317,8.632075,33.370488
both,non_symmetric,1.0,1.0,margin,top50,4,20,9,3.475522,58.60,1.628531,15.948263,7.970114,33.311342
both,non_symmetric,1.0,1.0,margin,top50,4,20,10,2.648781,59.80,1.629742,16.558538,7.557997,33.313757
both,non_symmetric,1.0,1.0,margin,top50,4,20,11,3.330193,58.16,1.636657,16.959775,7.100936,33.745420
both,non_symmetric,1.0,1.0,margin,top50,4,20,12,2.696915,58.24,1.675152,17.557893,6.693106,33.966960
both,non_symmetric,1.0,1.0,margin,top50,4,20,13,2.309445,60.30,1.632635,18.101692,6.372299,34.623276
both,non_symmetric,1.0,1.0,margin,top50,4,20,14,2.212187,59.76,1.652023,18.799391,5.985685,34.495721
both,non_symmetric,1.0,1.0,margin,top50,4,20,15,2.298165,61.90,1.717705,19.125352,5.699636,35.323823
both,non_symmetric,1.0,1.0,margin,top50,4,20,16,1.939933,61.84,1.726294,18.591145,5.503390,35.169061
both,non_symmetric,1.0,1.0,margin,top50,4,20,17,2.147842,61.24,1.759515,19.117220,5.000303,35.163132
both,non_symmetric,1.0,1.0,margin,top50,4,20,18,2.376051,61.46,1.718095,19.323599,4.758723,36.026489
both,non_symmetric,1.0,1.0,margin,top50,4,20,19,1.822072,62.36,1.712962,19.625711,4.685915,35.656459
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,1.724917,62.70,1.684846,20.104868,4.659474,36.137605
both,non_symmetric,1.0,1.0,margin,top50,4,20,21,1.669510,63.06,1.632992,19.571753,4.625464,36.349775
both,non_symmetric,1.0,1.0,margin,top50,4,20,22,1.283036,62.42,1.687657,19.281602,4.485632,36.019084
both,non_symmetric,1.0,1.0,softmax,top50,1,5,1,1.524204,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,softmax,top50,1,5,2,1.025577,51.32,1.486025,16.490434,13.069745,33.016148
both,non_symmetric,1.0,1.0,softmax,top50,1,5,3,0.801489,50.26,1.414451,14.937013,13.201905,31.598266
both,non_symmetric,1.0,1.0,softmax,top50,1,5,4,0.595446,51.04,1.509022,13.879473,12.871506,31.654035
both,non_symmetric,1.0,1.0,softmax,top50,1,5,5,0.422917,51.98,1.511447,14.158933,12.590732,32.223961
both,non_symmetric,1.0,1.0,softmax,top50,1,5,6,0.429554,52.76,1.495159,15.102744,11.859289,32.694801
