fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,generation,mean_fitness,mean_accuracy,mean_error,fitness_std,accuracy_std
regret,top70,2,10,,,,,8,0.657507,55.7,,0.207146,3.32
regret,top70,2,10,,,,,9,0.565047,56.15,,0.175521,3.17
regret,top70,4,20,,,,,1,4.730225,50.55,,0.537832,1.66
regret,top70,4,20,,,,,2,4.216071,50.46,,0.734293,0.93
regret,top70,4,20,,,,,3,3.741079,50.33,,0.453145,1.01
regret,top70,4,20,,,,,4,3.285683,52.12,,0.425608,2.72
regret,top70,4,20,,,,,5,3.236919,53.02,,0.428646,0.9
regret,top70,4,20,,,,,6,2.862176,54.21,,0.459127,1.9
regret,top70,4,20,,,,,7,2.543792,55.56,,0.477327,1.53
regret,top70,4,20,,,,,8,2.500324,55.91,,0.546665,2.07
regret,top70,4,20,,,,,9,1.874035,56.28,,0.51379,1.15
regret,top70,4,20,,,,,10,1.211695,57.75,,0.537587,1.72
regret,top70,4,20,,,,,11,1.002195,58.33,,0.338241,3.25
regret,top70,4,20,,,,,12,0.750969,60.37,,0.250761,2.78
regret,top70,4,20,,,,,13,0.548446,62.02,,0.149194,1.35
regret,top70,4,20,,,,,14,0.521958,61.54,,0.120333,1.69
regret,top70,4,20,,,,,15,0.393136,62.4,,0.085507,1.81
regret,top70,4,20,,,,,16,0.379168,62.46,,0.090223,1.89
regret,top70,6,30,,,,,1,7.619692,49.22,,0.845151,1.91
regret,top70,6,30,,,,,2,6.509711,51.0,,0.451525,0.86
regret,top70,6,30,,,,,3,6.073747,51.25,,0.750264,2.1
regret,top70,6,30,,,,,4,5.176843,52.46,,0.277638,1.76
regret,top70,6,30,,,,,5,5.914611,52.99,,0.566755,1.64
regret,top70,6,30,,,,,6,4.71791,53.83,,0.556363,2.76
regret,top70,6,30,,,,,7,3.944563,55.32,,1.035546,3.45
regret,top70,6,30,,,,,8,3.733286,55.52,,0.630506,4.19
regret,top70,6,30,,,,,9,3.058252,57.59,,0.46952,4.35
regret,top70,6,30,,,,,10,2.953148,58.46,,0.66661,5.72
regret,top70,6,30,,,,,11,2.41799,58.43,,0.727759,4.67
regret,top70,6,30,,,,,12,1.816516,62.59,,0.733019,6.86
regret,top70,6,30,,,,,13,1.352877,63.34,,0.796688,8.8
regret,top70,6,30,,,,,14,1.116809,64.76,,0.464447,9.4
regret,top70,6,30,,,,,15,0.793351,66.54,,0.262671,9.42
regret,top70,6,30,,,,,16,0.589726,66.56,,0.254278,7.79
regret,top70,6,30,,,,,17,0.486701,67.37,,0.263017,9.01
regret,top70,6,30,,,,,18,0.393255,67.06,,0.292222,8.6
regret,top70,6,30,,,,,19,0.381114,67.96,,0.307968,8.45
regret,top70,6,30,,,,,20,0.352957,68.41,,0.314224,7.91
regret,top70,6,30,,,,,21,0.340909,68.54,,0.324045,7.71
regret,top70,6,30,,,,,22,0.340518,69.17,,0.324389,6.76
regret,top70,6,30,,,,,23,0.338203,69.53,,0.326456,6.27
regret,top70,8,40,,,,,1,10.09015,49.39,,0.950559,0.59
regret,top70,8,40,,,,,2,9.218843,49.87,,0.559195,1.06
regret,top70,8,40,,,,,3,7.962505,51.62,,0.725172,1.61
regret,top70,8,40,,,,,4,7.155848,52.57,,0.997599,2.58
regret,top70,8,40,,,,,5,6.128774,54.06,,1.214398,2.48
regret,top70,8,40,,,,,6,6.250128,51.96,,1.241757,2.82
regret,top70,8,40,,,,,7,5.751746,52.91,,1.353516,3.79
regret,top70,8,40,,,,,8,4.163465,55.97,,1.144945,3.66
regret,top70,8,40,,,,,9,4.17426,57.03,,1.492381,4.49
regret,top70,8,40,,,,,10,3.323534,57.36,,1.161852,5.67
regret,top70,8,40,,,,,11,2.731735,59.12,,1.382861,6.07
regret,top70,8,40,,,,,12,2.347872,59.64,,1.276311,6.44
regret,top70,8,40,,,,,13,1.766213,61.96,,1.032718,6.3
regret,top70,8,40,,,,,14,1.02619,64.86,,0.786981,7.18
regret,top70,8,40,,,,,15,1.173987,65.67,,1.114037,8.51
regret,top70,8,40,,,,,16,0.942665,67.17,,0.914473,7.22
regret,top70,8,40,,,,,17,0.767365,67.45,,0.894585,7.68
regret,top70,8,40,,,,,18,0.439472,69.84,,0.462591,6.61
regret,top70,8,40,,,,,19,0.353845,70.9,,0.33833,6.5
regret,top70,8,40,,,,,20,0.336562,71.88,,0.319628,5.25
regret,top70,8,40,,,,,21,0.226498,72.36,,0.152786,5.26
regret,top70,8,40,,,,,22,0.187489,73.71,,0.112794,5.36
regret,top70,8,40,,,,,23,0.175512,74.31,,0.097568,4.95
regret,top90,1,5,,,,,1,1.197339,49.98,,0.217842,1.14
regret,top90,1,5,,,,,2,0.882778,50.35,,0.119846,0.8
regret,top90,1,5,,,,,3,0.881922,51.02,,0.181613,0.46
regret,top90,1,5,,,,,4,0.721823,50.49,,0.174932,2.12
regret,top90,1,5,,,,,5,0.440106,52.15,,0.113592,2.37
regret,top90,1,5,,,,,6,0.39653,53.4,,0.238141,2.2
regret,top90,1,5,,,,,7,0.399898,53.38,,0.197387,2.97
regret,top90,1,5,,,,,8,0.244553,53.75,,0.112142,1.42
regret,top90,1,5,,,,,9,0.244859,55.06,,0.18644,2.02
regret,top90,1,5,,,,,10,0.211381,55.9,,0.123318,1.53
regret,top90,1,5,,,,,11,0.179741,55.77,,0.070492,1.49
regret,top90,1,5,,,,,12,0.182928,56.44,,0.075085,2.05
regret,top90,2,10,,,,,1,2.501433,50.96,,0.164898,0.67
regret,top90,2,10,,,,,2,2.265133,49.12,,0.111529,0.83
regret,top90,2,10,,,,,3,1.806562,51.21,,0.220418,1.56
regret,top90,2,10,,,,,4,1.579653,51.6,,0.302629,0.74
regret,top90,2,10,,,,,5,1.583877,49.56,,0.360451,1.91
regret,top90,2,10,,,,,6,1.297101,51.44,,0.409732,1.08
regret,top90,2,10,,,,,7,0.910308,53.0,,0.266655,1.37
regret,top90,2,10,,,,,8,0.888846,53.44,,0.397209,1.98
regret,top90,2,10,,,,,9,0.608538,55.08,,0.226032,2.66
regret,top90,2,10,,,,,10,0.488199,54.44,,0.226029,1.89
regret,top90,2,10,,,,,11,0.314362,54.38,,0.169183,2.5
regret,top90,2,10,,,,,12,0.364691,54.57,,0.222964,1.92
regret,top90,2,10,,,,,13,0.171659,55.94,,0.071766,1.94
regret,top90,2,10,,,,,14,0.140243,55.79,,0.085548,2.9
