fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
entropy,top30,1,5,20,5.80,1.17,5,8,0.000291,0.000237,77.00,6.78,70.00,85.00,0.764162,0.072158,3.764767,1.150782,8.435996,1.689777,40.930451,0.930556
entropy,top30,2,10,20,12.20,4.12,6,19,0.000284,0.000076,82.00,6.00,75.00,90.00,0.898698,0.254873,6.555569,2.341528,4.105766,1.417380,42.138773,1.858858
entropy,top30,4,20,20,21.80,5.91,12,27,0.209199,0.411826,94.00,4.90,85.00,100.00,0.835810,0.102296,8.716932,3.253111,1.587329,1.529425,43.691727,0.953893
entropy,top30,8,40,20,26.00,9.53,12,38,0.601012,0.889339,95.00,4.47,90.00,100.00,1.018445,0.213564,9.304595,2.973017,1.571370,1.220859,44.216095,0.450103
entropy,top30,12,60,20,25.20,10.63,18,46,3.367148,2.411978,96.00,3.74,90.00,100.00,1.132203,0.096659,11.762722,4.870758,1.233923,1.300412,44.049737,0.376116
entropy,top70,1,5,20,10.60,2.87,8,15,0.000105,0.000008,78.00,4.00,75.00,85.00,0.621278,0.071902,6.788312,2.426545,5.872750,2.348065,43.019819,1.042743
entropy,top70,2,10,20,20.00,4.34,15,26,0.000199,0.000015,83.00,4.00,75.00,85.00,0.952081,0.197198,10.478915,4.465642,1.843680,1.308987,44.107785,0.417673
entropy,top70,4,20,20,24.20,4.17,16,27,0.209159,0.411846,96.00,2.00,95.00,100.00,0.978514,0.293901,10.506210,4.845102,1.443038,1.720263,44.295553,0.266962
entropy,top70,8,40,20,28.20,11.00,12,38,0.601005,0.889343,93.00,6.00,85.00,100.00,1.066102,0.172445,9.382046,2.984640,1.359163,1.290471,44.213167,0.448703
entropy,top70,12,60,20,25.20,10.63,18,46,3.367148,2.411978,96.00,3.74,90.00,100.00,1.132203,0.096659,11.762722,4.870758,1.233923,1.300412,44.049737,0.376116
entropy,top90,1,5,20,15.60,2.06,13,19,0.000096,0.000001,86.00,8.00,75.00,95.00,0.768165,0.074703,12.645318,2.301125,2.494796,0.896009,43.853188,0.457626
entropy,top90,2,10,20,22.20,2.56,18,26,0.000191,0.000001,83.00,4.00,75.00,85.00,0.892687,0.109401,10.814383,4.243483,1.094517,0.339743,44.173443,0.297146
entropy,top90,4,20,20,25.00,2.61,20,27,0.209158,0.411847,96.00,2.00,95.00,100.00,0.944089,0.295118,11.506228,4.637938,1.480641,1.795068,44.283066,0.291846
entropy,top90,8,40,20,28.20,11.00,12,38,0.601005,0.889343,93.00,6.00,85.00,100.00,1.066102,0.172445,9.382046,2.984640,1.359163,1.290471,44.213167,0.448703
entropy,top90,12,60,20,25.20,10.63,18,46,3.367148,2.411978,96.00,3.74,90.00,100.00,1.132203,0.096659,11.762722,4.870758,1.233923,1.300412,44.049737,0.376116
